'gerencia_id','ibge','id','nome'
'3','2516102','208','Soledade'
'4','2516151','209','Sossêgo'
'10','2516201','210','Sousa'
'5','2516300','211','Sumé'
'2','2516409','212','Tacima'
'3','2516508','213','Taperoá'
'11','2516607','214','Tavares'
'6','2516706','215','Teixeira'
'3','2516755','216','Tenório'
'9','2516805','217','Triunfo'
'9','2516904','218','Uiraúna'
'3','2517001','219','Umbuzeiro'
'6','2517100','220','Várzea'
'10','2517209','221','Vieirópolis'
'6','2505501','222','Vista Serrana'
'5','2517407','223','Zabelê'
